	Season	Lg	Tm	Voting	C	F1	F2	G1	G2
100	1997-98	NBA	1st	 (V)	Shaquille O'Neal C	Tim Duncan F	Karl Malone F	Michael Jordan G	Gary Payton G
101	1997-98	NBA	2nd	 (V)	David Robinson C	Vin Baker F	Grant Hill F	Tim Hardaway G	Rod Strickland G
102	1997-98	NBA	3rd	 (V)	Dikembe Mutombo C	Scottie Pippen F	Glen Rice F	Reggie Miller G	Mitch Richmond G
103									
104	1996-97	NBA	1st	 (V)	Hakeem Olajuwon C	Grant Hill F	Karl Malone F	Tim Hardaway G	Michael Jordan G
105	1996-97	NBA	2nd	 (V)	Patrick Ewing C	Scottie Pippen F	Glen Rice F	Gary Payton G	Mitch Richmond G
106	1996-97	NBA	3rd	 (V)	Shaquille O'Neal C	Vin Baker F	Anthony Mason F	Anfernee Hardaway G	John Stockton G
107									
108	1995-96	NBA	1st	 (V)	David Robinson C	Karl Malone F	Scottie Pippen F	Anfernee Hardaway G	Michael Jordan G
109	1995-96	NBA	2nd	 (V)	Hakeem Olajuwon C	Grant Hill F	Shawn Kemp F	Gary Payton G	John Stockton G
110	1995-96	NBA	3rd	 (V)	Shaquille O'Neal C	Charles Barkley F	Juwan Howard F	Reggie Miller G	Mitch Richmond G
111									
112	1994-95	NBA	1st	 (V)	David Robinson C	Karl Malone F	Scottie Pippen F	Anfernee Hardaway G	John Stockton G
113	1994-95	NBA	2nd	 (V)	Shaquille O'Neal C	Charles Barkley F	Shawn Kemp F	Gary Payton G	Mitch Richmond G
114	1994-95	NBA	3rd	 (V)	Hakeem Olajuwon C	Dennis Rodman F	Detlef Schrempf F	Clyde Drexler G	Reggie Miller G
115									
116	1993-94	NBA	1st	 (V)	Hakeem Olajuwon C	Karl Malone F	Scottie Pippen F	Latrell Sprewell G	John Stockton G
117	1993-94	NBA	2nd	 (V)	David Robinson C	Charles Barkley F	Shawn Kemp F	Kevin Johnson G	Mitch Richmond G
118	1993-94	NBA	3rd	 (V)	Shaquille O'Neal C	Derrick Coleman F	Dominique Wilkins F	Gary Payton G	Mark Price G
119									
120	1992-93	NBA	1st	 (V)	Hakeem Olajuwon C	Charles Barkley F	Karl Malone F	Michael Jordan G	Mark Price G
121	1992-93	NBA	2nd	 (V)	Patrick Ewing C	Larry Johnson F	Dominique Wilkins F	Joe Dumars G	John Stockton G
122	1992-93	NBA	3rd	 (V)	David Robinson C	Derrick Coleman F	Scottie Pippen F	Tim Hardaway G	Dražen Petrović G
123									
124	1991-92	NBA	1st	 (V)	David Robinson C	Karl Malone F	Chris Mullin F	Clyde Drexler G	Michael Jordan G
125	1991-92	NBA	2nd	 (V)	Patrick Ewing C	Charles Barkley F	Scottie Pippen F	Tim Hardaway G	John Stockton G
126	1991-92	NBA	3rd	 (V)	Brad Daugherty C	Dennis Rodman F	Kevin Willis F	Kevin Johnson G	Mark Price G
127									
128	1990-91	NBA	1st	 (V)	David Robinson C	Charles Barkley F	Karl Malone F	Magic Johnson G	Michael Jordan G
129	1990-91	NBA	2nd	 (V)	Patrick Ewing C	Chris Mullin F	Dominique Wilkins F	Clyde Drexler G	Kevin Johnson G
130	1990-91	NBA	3rd	 (V)	Hakeem Olajuwon C	Bernard King F	James Worthy F	Joe Dumars G	John Stockton G
131									
132	1989-90	NBA	1st	 (V)	Patrick Ewing C	Charles Barkley F	Karl Malone F	Magic Johnson G	Michael Jordan G
133	1989-90	NBA	2nd	 (V)	Hakeem Olajuwon C	Larry Bird F	Tom Chambers F	Kevin Johnson G	John Stockton G
134	1989-90	NBA	3rd	 (V)	David Robinson C	Chris Mullin F	James Worthy F	Clyde Drexler G	Joe Dumars G
135									
136	1988-89	NBA	1st	 (V)	Hakeem Olajuwon C	Charles Barkley F	Karl Malone F	Magic Johnson G	Michael Jordan G
137	1988-89	NBA	2nd	 (V)	Patrick Ewing C	Tom Chambers F	Chris Mullin F	Kevin Johnson G	John Stockton G
138	1988-89	NBA	3rd	 (V)	Robert Parish C	Terry Cummings F	Dominique Wilkins F	Dale Ellis G	Mark Price G
139									
140	1987-88	NBA	1st	 (V)	Hakeem Olajuwon C	Charles Barkley F	Larry Bird F	Magic Johnson G	Michael Jordan G
141	1987-88	NBA	2nd	 (V)	Patrick Ewing C	Karl Malone F	Dominique Wilkins F	Clyde Drexler G	John Stockton G
142									
143	1986-87	NBA	1st	 (V)	Hakeem Olajuwon C	Larry Bird F	Kevin McHale F	Magic Johnson G	Michael Jordan G
144	1986-87	NBA	2nd	 (V)	Moses Malone C	Charles Barkley F	Dominique Wilkins F	Fat Lever G	Isiah Thomas G
145									
146	1985-86	NBA	1st	 (V)	Kareem Abdul-Jabbar C	Larry Bird F	Dominique Wilkins F	Magic Johnson G	Isiah Thomas G
147	1985-86	NBA	2nd	 (V)	Hakeem Olajuwon C	Charles Barkley F	Alex English F	Sidney Moncrief G	Alvin Robertson G
148									
149	1984-85	NBA	1st	 (V)	Moses Malone C	Larry Bird F	Bernard King F	Magic Johnson G	Isiah Thomas G
150	1984-85	NBA	2nd	 (V)	Kareem Abdul-Jabbar C	Terry Cummings F	Ralph Sampson F	Michael Jordan G	Sidney Moncrief G
151									
152	1983-84	NBA	1st	 (V)	Kareem Abdul-Jabbar C	Larry Bird F	Bernard King F	Magic Johnson G	Isiah Thomas G
153	1983-84	NBA	2nd	 (V)	Moses Malone C	Adrian Dantley F	Julius Erving F	Sidney Moncrief G	Jim Paxson G
154									
155	1982-83	NBA	1st	 (V)	Moses Malone C	Larry Bird F	Julius Erving F	Magic Johnson G	Sidney Moncrief G
156	1982-83	NBA	2nd	 (V)	Kareem Abdul-Jabbar C	Alex English F	Buck Williams F	George Gervin G	Isiah Thomas G
157									
158	1981-82	NBA	1st	 (V)	Moses Malone C	Larry Bird F	Julius Erving F	George Gervin G	Gus Williams G
159	1981-82	NBA	2nd	 (V)	Robert Parish C	Alex English F	Bernard King F	Magic Johnson G	Sidney Moncrief G
160									
161	1980-81	NBA	1st	 (V)	Kareem Abdul-Jabbar C	Larry Bird F	Julius Erving F	George Gervin G	Dennis Johnson G
162	1980-81	NBA	2nd	 (V)	Moses Malone C	Adrian Dantley F	Marques Johnson F	Tiny Archibald G	Otis Birdsong G
163									
164	1979-80	NBA	1st	 (V)	Kareem Abdul-Jabbar C	Larry Bird F	Julius Erving F	George Gervin G	Paul Westphal G
165	1979-80	NBA	2nd	 (V)	Moses Malone C	Marques Johnson F	Dan Roundfield F	Dennis Johnson G	Gus Williams G
166									
167	1978-79	NBA	1st	 (V)	Moses Malone C	Elvin Hayes F	Marques Johnson F	George Gervin G	Paul Westphal G
168	1978-79	NBA	2nd	 (V)	Kareem Abdul-Jabbar C	Bob Dandridge F	Walter Davis F	Phil Ford G	World B. Free G
169									
170	1977-78	NBA	1st	 (V)	Bill Walton C	Julius Erving F	Truck Robinson F	George Gervin G	David Thompson G
171	1977-78	NBA	2nd	 (V)	Kareem Abdul-Jabbar C	Walter Davis F	Maurice Lucas F	Pete Maravich G	Paul Westphal G
172									
173	1976-77	NBA	1st	 (V)	Kareem Abdul-Jabbar C	Elvin Hayes F	David Thompson F	Pete Maravich G	Paul Westphal G
174	1976-77	NBA	2nd	 (V)	Bill Walton C	Julius Erving F	George McGinnis F	George Gervin G	Jo Jo White G
175									
176	1975-76	NBA	1st	 (V)	Kareem Abdul-Jabbar C	Rick Barry F	George McGinnis F	Tiny Archibald G	Pete Maravich G
177	1975-76	NBA	2nd	 (V)	Dave Cowens C	John Havlicek F	Elvin Hayes F	Phil Smith G	Randy Smith G
178									
179	1975-76	ABA	1st		Artis Gilmore C	Julius Erving F	Billy Knight F	James Silas G	Ralph Simpson G
180	1975-76	ABA	2nd		Dan Issel C	Bobby Jones F	David Thompson F	Don Buse G	George Gervin G
181									
182	1974-75	NBA	1st	 (V)	Bob McAdoo C	Rick Barry F	Elvin Hayes F	Tiny Archibald G	Walt Frazier G
183	1974-75	NBA	2nd	 (V)	Dave Cowens C	John Havlicek F	Spencer Haywood F	Phil Chenier G	Jo Jo White G
184									
185	1974-75	ABA	1st		Artis Gilmore C	Julius Erving F	George McGinnis F	Ron Boone G	Mack Calvin G
186	1974-75	ABA	2nd		Swen Nater C	Marvin Barnes F	George Gervin F	James Silas G	Brian Taylor G
187									
188	1973-74	NBA	1st	 (V)	Kareem Abdul-Jabbar C	Rick Barry F	John Havlicek F	Walt Frazier G	Gail Goodrich G
189	1973-74	NBA	2nd	 (V)	Bob McAdoo C	Elvin Hayes F	Spencer Haywood F	Dave Bing G	Norm Van Lier G
190									
191	1973-74	ABA	1st		Artis Gilmore C	Julius Erving F	George McGinnis F	Mack Calvin G	Jimmy Jones G
192	1973-74	ABA	2nd		Swen Nater C	Dan Issel F	Willie Wise F	Ron Boone G	Louie Dampier G
193									
194	1972-73	NBA	1st	 (V)	Kareem Abdul-Jabbar C	John Havlicek F	Spencer Haywood F	Tiny Archibald G	Jerry West G
195	1972-73	NBA	2nd	 (V)	Dave Cowens C	Rick Barry F	Elvin Hayes F	Walt Frazier G	Pete Maravich G
196									
197	1972-73	ABA	1st		Artis Gilmore C	Billy Cunningham F	Julius Erving F	Warren Jabali G	Jimmy Jones G
198	1972-73	ABA	2nd		Mel Daniels C	Dan Issel F	George McGinnis F	Mack Calvin G	Ralph Simpson G
199									
200	1971-72	NBA	1st	 (V)	Kareem Abdul-Jabbar C	John Havlicek F	Spencer Haywood F	Walt Frazier G	Jerry West G
201	1971-72	NBA	2nd	 (V)	Wilt Chamberlain C	Billy Cunningham F	Bob Love F	Tiny Archibald G	Archie Clark G
202									
203	1971-72	ABA	1st		Artis Gilmore C	Rick Barry F	Dan Issel F	Donnie Freeman G	Bill Melchionni G
204	1971-72	ABA	2nd		Zelmo Beaty C	Julius Erving F	Willie Wise F	Charlie Scott G	Ralph Simpson G
205									
206	1970-71	NBA	1st	 (V)	Kareem Abdul-Jabbar C	Billy Cunningham F	John Havlicek F	Dave Bing G	Jerry West G
207	1970-71	NBA	2nd	 (V)	Willis Reed C	Gus Johnson F	Bob Love F	Walt Frazier G	Oscar Robertson G
208									
209	1970-71	ABA	1st		Mel Daniels C	Rick Barry F	Roger Brown F	Mack Calvin G	Charlie Scott G
210	1970-71	ABA	2nd		John Brisker F	Joe Caldwell F	Larry Cannon G	Donnie Freeman G	Zelmo Beaty C, Dan Issel C (T)
211									
212	1969-70	NBA	1st	 (V)	Willis Reed C	Billy Cunningham F	Connie Hawkins F	Walt Frazier G	Jerry West G
213	1969-70	NBA	2nd	 (V)	Kareem Abdul-Jabbar C	John Havlicek F	Gus Johnson F	Lou Hudson G	Oscar Robertson G
214									
215	1969-70	ABA	1st		Mel Daniels C	Rick Barry F	Spencer Haywood F	Larry Jones G	Bob Verga G
216	1969-70	ABA	2nd		Red Robbins C	Roger Brown F	Bob Netolicky F	Louie Dampier G	Donnie Freeman G
217									
218	1968-69	NBA	1st	 (V)	Wes Unseld C	Elgin Baylor F	Billy Cunningham F	Earl Monroe G	Oscar Robertson G
219	1968-69	NBA	2nd	 (V)	Willis Reed C	Dave DeBusschere F	John Havlicek F	Hal Greer G	Jerry West G
220									
221	1968-69	ABA	1st		Mel Daniels C	Rick Barry F	Connie Hawkins F	Jimmy Jones G	Larry Jones G
222	1968-69	ABA	2nd		Red Robbins C	John Beasley F	Doug Moe F	Louie Dampier G	Donnie Freeman G
223									
224	1967-68	NBA	1st	 (V)	Wilt Chamberlain C	Elgin Baylor F	Jerry Lucas F	Dave Bing G	Oscar Robertson G
225	1967-68	NBA	2nd	 (V)	Bill Russell C	John Havlicek F	Willis Reed F	Hal Greer G	Jerry West G
226									
227	1967-68	ABA	1st		Mel Daniels C	Connie Hawkins F	Doug Moe F	Larry Jones G	Charles Williams G
228	1967-68	ABA	2nd		John Beasley C	Roger Brown F	Cincy Powell F	Larry Brown G	Louie Dampier G
229									
230	1966-67	NBA	1st	 (V)	Wilt Chamberlain C	Rick Barry F	Elgin Baylor F	Oscar Robertson G	Jerry West G
231	1966-67	NBA	2nd	 (V)	Bill Russell C	Jerry Lucas F	Willis Reed F	Hal Greer G	Sam Jones G
232									
233	1965-66	NBA	1st		Wilt Chamberlain C	Rick Barry F	Jerry Lucas F	Oscar Robertson G	Jerry West G
